                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.43096,                 0.3738,                0.89608,                0.98121,                  0.975,                0.98155,                0.90365,                0.42728,                0.33841,                0.81803,              0.0008845,              0.0008845,              0.0008845
                     37,                0.44756,                0.37465,                0.88967,                0.99795,                  0.975,                0.99159,                0.90126,                0.43323,                0.33863,                0.80744,              0.0008812,              0.0008812,              0.0008812
                     38,                0.42682,                0.37952,                0.89679,                0.98395,                0.96667,                0.99169,                0.92207,                0.41017,                0.34354,                0.81006,              0.0008779,              0.0008779,              0.0008779
                     39,                0.45563,                0.40459,                 0.9113,                 0.9829,                0.95781,                 0.9859,                0.91468,                0.40241,                0.33406,                0.81085,              0.0008746,              0.0008746,              0.0008746
                     40,                0.41327,                0.37191,                0.89226,                0.98085,                0.96667,                0.98743,                 0.9224,                0.41174,                0.32793,                0.81312,              0.0008713,              0.0008713,              0.0008713
                     41,                0.43784,                0.37078,                0.89241,                0.98272,                0.98333,                0.98619,                0.91251,                0.41317,                0.32763,                0.81444,               0.000868,               0.000868,               0.000868
                     42,                0.41575,                 0.3613,                0.89397,                0.98928,                   0.95,                0.97342,                0.88811,                0.44716,                0.38833,                0.83288,              0.0008647,              0.0008647,              0.0008647
                     43,                0.44911,                0.37724,                0.89198,                0.96689,                0.97338,                0.99208,                0.91402,                 0.4258,                0.32421,                0.82026,              0.0008614,              0.0008614,              0.0008614
                     44,                0.42239,                0.35726,                0.88798,                0.99128,                0.94781,                0.97192,                0.89141,                0.43169,                0.44058,                0.82388,              0.0008581,              0.0008581,              0.0008581
                     45,                0.43581,                0.37423,                0.88345,                      1,                0.94765,                0.98572,                0.91184,                0.44385,                0.35759,                0.82336,              0.0008548,              0.0008548,              0.0008548
                     46,                 0.4204,                   0.36,                0.89291,                0.97518,                0.98212,                0.99235,                0.91213,                0.42597,                0.32784,                0.81272,              0.0008515,              0.0008515,              0.0008515
                     47,                0.41904,                0.35513,                0.88355,                0.99861,                0.96667,                0.99269,                0.92512,                0.39893,                0.32349,                0.81078,              0.0008482,              0.0008482,              0.0008482
                     48,                0.40398,                0.35017,                0.87981,                0.99144,                0.96541,                0.98513,                0.92168,                 0.3862,                0.32651,                0.80684,              0.0008449,              0.0008449,              0.0008449
                     49,                0.41223,                 0.3652,                0.88931,                0.97446,                0.95398,                0.97584,                0.91057,                0.41901,                0.38628,                0.82028,              0.0008416,              0.0008416,              0.0008416
                     50,                0.38094,                0.33208,                0.87917,                0.96744,                0.95833,                0.97883,                0.92612,                0.39711,                0.35392,                0.81764,              0.0008383,              0.0008383,              0.0008383
                     51,                0.39792,                0.35465,                0.88424,                0.98116,                0.96667,                0.98483,                0.91792,                0.39567,                0.33403,                0.82375,               0.000835,               0.000835,               0.000835
